Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
310.72000,-107.23,0.96,0.00,0.00
310.74000,-107.27,0.96,0.00,0.00
310.76000,-107.30,0.96,0.00,0.00
310.78000,-107.33,0.96,0.00,0.00
310.80000,-107.37,0.96,0.00,0.00
310.82000,-107.40,0.96,0.00,0.00
310.84000,-107.44,0.96,0.00,0.00
310.86000,-107.47,0.96,0.00,0.00
310.88000,-107.50,0.96,0.00,0.00
310.90000,-107.54,0.96,0.00,0.00
310.92000,-107.57,0.96,0.00,0.00
310.94000,-107.61,0.96,0.00,0.00
310.96000,-107.64,0.97,0.00,0.00
310.98000,-107.67,0.97,0.00,0.00
311.00000,-107.71,0.97,0.00,0.00
311.02000,-107.74,0.97,0.00,0.00
311.04000,-107.77,0.97,0.00,0.00
311.06000,-107.81,0.97,0.00,0.00
311.08000,-107.84,0.97,0.00,0.00
311.10000,-107.88,0.97,0.00,0.00
311.12000,-107.91,0.97,0.00,0.00
311.14000,-107.94,0.97,0.00,0.00
311.16000,-107.98,0.97,0.00,0.00
311.18000,-108.01,0.97,0.00,0.00
311.20000,-108.05,0.97,0.00,0.00
311.22000,-108.08,0.97,0.00,0.00
311.24000,-108.12,0.97,0.00,0.00
311.26000,-108.15,0.97,0.00,0.00
311.28000,-108.18,0.97,0.00,0.00
311.30000,-108.22,0.97,0.00,0.00
311.32000,-108.25,0.97,0.00,0.00
311.34000,-108.29,0.97,0.00,0.00
311.36000,-108.32,0.97,0.00,0.00
311.38000,-108.35,0.97,0.00,0.00
311.40000,-108.39,0.97,0.00,0.00
311.42000,-108.42,0.97,0.00,0.00
311.44000,-108.46,0.97,0.00,0.00
311.46000,-108.49,0.97,0.00,0.00
311.48000,-108.53,0.97,0.00,0.00
311.50000,-108.56,0.97,0.00,0.00
311.52000,-108.59,0.97,0.00,0.00
311.54000,-108.63,0.97,0.00,0.00
311.56000,-108.66,0.97,0.00,0.00
311.58000,-108.70,0.97,0.00,0.00
311.60000,-108.73,0.97,0.00,0.00
311.62000,-108.77,0.97,0.00,0.00
311.64000,-108.80,0.98,0.00,0.00
311.66000,-108.83,0.98,0.00,0.00
311.68000,-108.87,0.98,0.00,0.00
311.70000,-108.90,0.98,0.00,0.00
311.72000,-108.94,0.98,0.00,0.00
311.74000,-108.97,0.98,0.00,0.00
311.76000,-109.01,0.98,0.00,0.00
311.78000,-109.04,0.98,0.00,0.00
311.80000,-109.08,0.98,0.00,0.00
311.82000,-109.11,0.98,0.00,0.00
311.84000,-109.14,0.98,0.00,0.00
311.86000,-109.18,0.98,0.00,0.00
311.88000,-109.21,0.98,0.00,0.00
311.90000,-109.25,0.98,0.00,0.00
311.92000,-109.28,0.98,0.00,0.00
311.94000,-109.32,0.98,0.00,0.00
311.96000,-109.35,0.98,0.00,0.00
311.98000,-109.39,0.98,0.00,0.00
312.00000,-109.42,0.98,0.00,0.00
312.02000,-109.46,0.98,0.00,0.00
312.04000,-109.49,0.98,0.00,0.00
312.06000,-109.53,0.98,0.00,0.00
312.08000,-109.56,0.98,0.00,0.00
312.10000,-109.59,0.98,0.00,0.00
312.12000,-109.63,0.98,0.00,0.00
312.14000,-109.66,0.98,0.00,0.00
312.16000,-109.70,0.98,0.00,0.00
312.18000,-109.73,0.98,0.00,0.00
312.20000,-109.77,0.98,0.00,0.00
312.22000,-109.80,0.98,0.00,0.00
312.24000,-109.84,0.98,0.00,0.00
312.26000,-109.87,0.98,0.00,0.00
312.28000,-109.91,0.98,0.00,0.00
312.30000,-109.94,0.98,0.00,0.00
312.32000,-109.98,0.99,0.00,0.00
312.34000,-110.01,0.99,0.00,0.00
312.36000,-110.05,0.99,0.00,0.00
312.38000,-110.08,0.99,0.00,0.00
312.40000,-110.12,0.99,0.00,0.00
312.42000,-110.15,0.99,0.00,0.00
312.44000,-110.19,0.99,0.00,0.00
