wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
412.36,-859.34,3.14,0,0,0,0
412.38,-875.26,3.15,0,0,0,0
412.4,-891.83,3.15,0,0,0,0
412.42,-909.11,3.15,0,0,0,0
412.44,-927.13,3.16,0,0,0,0
412.46,-945.94,3.16,0,0,0,0
412.48,-965.59,3.16,0,0,0,0
412.5,-986.15,3.17,0,0,0,0
412.52,-1007.68,3.17,0,0,0,0
412.54,-1030.25,3.18,0,0,0,0
412.56,-1053.93,3.19,0,0,0,0
412.58,-1078.82,3.19,0,0,0,0
412.6,-1105,3.2,0,0,0,0
412.62,-1132.58,3.21,0,0,0,0
412.64,-1161.67,3.21,0,0,0,0
412.66,-1192.41,3.22,0,0,0,0
412.68,-1224.94,3.23,0,0,0,0
412.7,-1259.41,3.24,0,0,0,0
412.72,-1296.02,3.26,0,0,0,0
412.74,-1334.96,3.27,0,0,0,0
412.76,-1376.46,3.29,0,0,0,0
412.78,-1420.8,3.3,0,0,0,0
412.8,-1468.26,3.32,0,0,0,0
412.82,-1519.19,3.34,0,0,0,0
412.84,-1573.98,3.36,0,0,0,0
412.86,-1633.11,3.39,0,0,0,0
412.88,-1697.09,3.42,0,0,0,0
412.882,-1703.78,3.42,0,0,0,0
412.884,-1710.52,3.42,0,0,0,0
412.886,-1717.32,3.43,0,0,0,0
412.888,-1724.18,3.43,0,0,0,0
412.89,-1731.09,3.43,0,0,0,0
