Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
409.50000,-93.29,0.21,0.00,0.00
409.52000,-93.31,0.21,0.00,0.00
409.54000,-93.32,0.21,0.00,0.00
409.56000,-93.34,0.21,0.00,0.00
409.58000,-93.35,0.21,0.00,0.00
409.60000,-93.37,0.21,0.00,0.00
409.62000,-93.38,0.21,0.00,0.00
409.64000,-93.40,0.21,0.00,0.00
409.66000,-93.41,0.21,0.00,0.00
409.68000,-93.43,0.21,0.00,0.00
409.70000,-93.44,0.21,0.00,0.00
409.72000,-93.46,0.21,0.00,0.00
409.74000,-93.47,0.21,0.00,0.00
409.76000,-93.49,0.21,0.00,0.00
409.78000,-93.50,0.21,0.00,0.00
409.80000,-93.52,0.21,0.00,0.00
409.82000,-93.53,0.21,0.00,0.00
409.84000,-93.55,0.21,0.00,0.00
409.86000,-93.56,0.21,0.00,0.00
409.88000,-93.58,0.21,0.00,0.00
409.90000,-93.59,0.21,0.00,0.00
409.92000,-93.61,0.21,0.00,0.00
409.94000,-93.62,0.21,0.00,0.00
409.96000,-93.64,0.21,0.00,0.00
409.98000,-93.65,0.21,0.00,0.00
410.00000,-93.67,0.21,0.00,0.00
410.02000,-93.68,0.21,0.00,0.00
410.04000,-93.70,0.21,0.00,0.00
410.06000,-93.72,0.21,0.00,0.00
410.08000,-93.73,0.21,0.00,0.00
410.10000,-93.75,0.21,0.00,0.00
410.12000,-93.76,0.21,0.00,0.00
410.14000,-93.78,0.21,0.00,0.00
410.16000,-93.79,0.21,0.00,0.00
410.18000,-93.81,0.21,0.00,0.00
410.20000,-93.82,0.21,0.00,0.00
410.22000,-93.84,0.21,0.00,0.00
410.24000,-93.85,0.21,0.00,0.00
410.26000,-93.87,0.21,0.00,0.00
410.28000,-93.88,0.21,0.00,0.00
410.30000,-93.90,0.21,0.00,0.00
410.32000,-93.91,0.21,0.00,0.00
410.34000,-93.93,0.21,0.00,0.00
410.36000,-93.94,0.21,0.00,0.00
410.38000,-93.96,0.21,0.00,0.00
410.40000,-93.97,0.21,0.00,0.00
410.42000,-93.99,0.21,0.00,0.00
410.44000,-94.00,0.21,0.00,0.00
410.46000,-94.02,0.21,0.00,0.00
410.48000,-94.04,0.21,0.00,0.00
410.50000,-94.05,0.21,0.00,0.00
410.52000,-94.07,0.21,0.00,0.00
410.54000,-94.08,0.21,0.00,0.00
410.56000,-94.10,0.21,0.00,0.00
410.58000,-94.11,0.21,0.00,0.00
410.60000,-94.13,0.21,0.00,0.00
410.62000,-94.14,0.21,0.00,0.00
410.64000,-94.16,0.21,0.00,0.00
410.66000,-94.17,0.21,0.00,0.00
410.68000,-94.19,0.21,0.00,0.00
410.70000,-94.20,0.21,0.00,0.00
410.72000,-94.22,0.21,0.00,0.00
410.74000,-94.23,0.21,0.00,0.00
410.76000,-94.25,0.21,0.00,0.00
410.78000,-94.26,0.21,0.00,0.00
410.80000,-94.28,0.21,0.00,0.00
410.82000,-94.29,0.21,0.00,0.00
410.84000,-94.31,0.21,0.00,0.00
410.86000,-94.33,0.21,0.00,0.00
410.88000,-94.34,0.21,0.00,0.00
410.90000,-94.36,0.21,0.00,0.00
410.92000,-94.37,0.21,0.00,0.00
410.94000,-94.39,0.21,0.00,0.00
410.96000,-94.40,0.21,0.00,0.00
410.98000,-94.42,0.21,0.00,0.00
411.00000,-94.43,0.21,0.00,0.00
411.02000,-94.45,0.21,0.00,0.00
411.04000,-94.46,0.21,0.00,0.00
411.06000,-94.48,0.21,0.00,0.00
411.08000,-94.49,0.21,0.00,0.00
411.10000,-94.51,0.21,0.00,0.00
411.12000,-94.52,0.21,0.00,0.00
411.14000,-94.54,0.21,0.00,0.00
411.16000,-94.56,0.21,0.00,0.00
411.18000,-94.57,0.21,0.00,0.00
411.20000,-94.59,0.21,0.00,0.00
411.22000,-94.60,0.21,0.00,0.00
411.24000,-94.62,0.21,0.00,0.00
411.26000,-94.63,0.21,0.00,0.00
411.28000,-94.65,0.21,0.00,0.00
411.30000,-94.66,0.21,0.00,0.00
411.32000,-94.68,0.21,0.00,0.00
411.34000,-94.69,0.21,0.00,0.00
411.36000,-94.71,0.21,0.00,0.00
411.38000,-94.72,0.21,0.00,0.00
411.40000,-94.74,0.21,0.00,0.00
411.42000,-94.76,0.21,0.00,0.00
411.44000,-94.77,0.21,0.00,0.00
411.46000,-94.79,0.21,0.00,0.00
411.48000,-94.80,0.21,0.00,0.00
411.50000,-94.82,0.21,0.00,0.00
411.52000,-94.83,0.21,0.00,0.00
411.54000,-94.85,0.21,0.00,0.00
411.56000,-94.86,0.21,0.00,0.00
411.58000,-94.88,0.21,0.00,0.00
411.60000,-94.89,0.21,0.00,0.00
411.62000,-94.91,0.21,0.00,0.00
411.64000,-94.92,0.21,0.00,0.00
411.66000,-94.94,0.21,0.00,0.00
411.68000,-94.96,0.21,0.00,0.00
411.70000,-94.97,0.21,0.00,0.00
411.72000,-94.99,0.21,0.00,0.00
411.74000,-95.00,0.21,0.00,0.00
411.76000,-95.02,0.21,0.00,0.00
411.78000,-95.03,0.21,0.00,0.00
411.80000,-95.05,0.21,0.00,0.00
411.82000,-95.06,0.21,0.00,0.00
411.84000,-95.08,0.21,0.00,0.00
411.86000,-95.09,0.21,0.00,0.00
411.88000,-95.11,0.21,0.00,0.00
411.90000,-95.12,0.21,0.00,0.00
411.92000,-95.14,0.21,0.00,0.00
411.94000,-95.16,0.21,0.00,0.00
411.96000,-95.17,0.21,0.00,0.00
411.98000,-95.19,0.21,0.00,0.00
412.00000,-95.20,0.21,0.00,0.00
412.02000,-95.22,0.21,0.00,0.00
412.04000,-95.23,0.21,0.00,0.00
412.06000,-95.25,0.21,0.00,0.00
412.08000,-95.26,0.21,0.00,0.00
412.10000,-95.28,0.21,0.00,0.00
412.12000,-95.29,0.21,0.00,0.00
412.14000,-95.31,0.21,0.00,0.00
412.16000,-95.33,0.21,0.00,0.00
412.18000,-95.34,0.21,0.00,0.00
412.20000,-95.36,0.21,0.00,0.00
412.22000,-95.37,0.21,0.00,0.00
412.24000,-95.39,0.21,0.00,0.00
412.26000,-95.40,0.21,0.00,0.00
412.28000,-95.42,0.21,0.00,0.00
412.30000,-95.43,0.21,0.00,0.00
412.32000,-95.45,0.21,0.00,0.00
412.34000,-95.46,0.21,0.00,0.00
412.36000,-95.48,0.21,0.00,0.00
412.38000,-95.50,0.21,0.00,0.00
412.40000,-95.51,0.21,0.00,0.00
412.42000,-95.53,0.21,0.00,0.00
412.44000,-95.54,0.21,0.00,0.00
